GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001 Eddy Scaling:     1.000
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T Updated Turbulent Conduction:  F
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
      80 2017  8 21  0  6  3 889  4.6314    177.25575    920.26360    815.92189    -60.69806     53.01930      0.01407     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11513   0.20271  -1.00000
      81 2017  8 21  0  6  8 519  4.6295    177.25556    920.62658    815.63888    -64.62624     53.31720      0.37528     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11479   0.20271  -1.00000
      82 2017  8 21  0  6 13 148  4.6288    177.25316    920.99194    815.26502    -67.41019     52.80553      0.73399     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11446   0.20271  -1.00000
      83 2017  8 21  0  6 17 777  4.6293    177.25667    920.98993    814.80367    -67.32418     54.56854      1.09286     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11412   0.20271  -1.00000
      84 2017  8 21  0  6 22 407  4.6303    177.26101    920.50132    814.26325    -64.97676     55.08535      1.43944     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11378   0.20271  -1.00000
      85 2017  8 21  0  6 27  38  4.6308    177.26042    919.51772    813.65474    -68.02613     54.40827      1.76771     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11345   0.20271  -1.00000
      86 2017  8 21  0  6 31 669  4.6312    177.25079    918.04201    812.99205    -68.51181     56.39155      2.07775     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11311   0.20271  -1.00000
      87 2017  8 21  0  6 36 301  4.6315    177.23805    917.35970    812.29100    -68.14769     57.22885      2.37091     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11277   0.20271  -1.00000
      88 2017  8 21  0  6 40 932  4.6316    177.23273    916.86516    811.56989    -71.79641     56.49481      2.65391     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11244   0.20271  -1.00000
      89 2017  8 21  0  6 45 563  4.6311    177.23666    919.16129    810.84677    -72.99181     57.67282      2.93847     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11210   0.20271  -1.00000
      90 2017  8 21  0  6 50 193  4.6298    177.25048    919.89776    810.13976    -70.97169     58.91180      3.22228     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11176   0.20271  -1.00000
      91 2017  8 21  0  6 54 821  4.6282    177.26186    922.06804    809.46815    -70.12319     62.11186      3.49833     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11143   0.20271  -1.00000
